url,title,tags,summary
https://www.lesswrong.com/posts/ifechgnJRtJdduFGC/emergent-misalignment-narrow-finetuning-can-produce-broadly,Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,,
https://www.lesswrong.com/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai,Interpretability Will Not Reliably Find Deceptive AI,,
https://www.lesswrong.com/posts/PMc65HgRFvBimEpmJ/legible-vs-illegible-ai-safety-problems,Legible vs. Illegible AI Safety Problems,,
https://www.lesswrong.com/posts/5uw26uDdFbFQgKzih/beware-general-claims-about-generalizable-reasoning,Beware General Claims about “Generalizable Reasoning Capabilities” (of Modern AI Systems),,
https://www.lesswrong.com/posts/dHLdf8SB8oW5L27gg/on-fleshling-safety-a-debate-by-klurl-and-trapaucius,On Fleshling Safety: A Debate by Klurl and Trapaucius.,,
https://www.lesswrong.com/posts/fF8pvsn3AGQhYsbjp/safety-researchers-should-take-a-public-stance,Safety researchers should take a public stance,,
https://www.lesswrong.com/posts/7C4KJot4aN8ieEDoz/will-alignment-faking-claude-accept-a-deal-to-reveal-its,Will alignment-faking Claude accept a deal to reveal its misalignment?,,
https://www.lesswrong.com/posts/mpMWWKzkzWqf57Yap/eliezer-s-lost-alignment-articles-the-arbital-sequence,Eliezer's Lost Alignment Articles / The Arbital Sequence,,
https://www.lesswrong.com/posts/ZEuDH2W3XdRaTwpjD/hyperbolic-model-fits-metr-capabilities-estimate-worse-than,Hyperbolic model fits METR capabilities estimate worse than exponential model,,
https://www.lesswrong.com/posts/pGMRzJByB67WfSvpy/will-any-crap-cause-emergent-misalignment,Will Any Crap Cause Emergent Misalignment?,,
https://www.lesswrong.com/posts/E3daBewppAiECN3Ao/claude-sonnet-3-7-often-knows-when-it-s-in-alignment,Claude Sonnet 3.7 (often) knows when it’s in alignment evaluations,,
https://www.lesswrong.com/posts/dHNKtQ3vTBxTfTPxu/what-is-the-alignment-problem,What Is The Alignment Problem?,,
https://www.lesswrong.com/posts/7xneDbsgj6yJDJMjK/chain-of-thought-monitorability-a-new-and-fragile,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,,
https://www.lesswrong.com/posts/jtqcsARGtmgogdcLT/reducing-llm-deception-at-scale-with-self-other-overlap-fine,Reducing LLM deception at scale with self-other overlap fine-tuning,,
https://www.lesswrong.com/posts/ghESoA8mo3fv9Yx3E/why-do-some-language-models-fake-alignment-while-others-don,Why Do Some Language Models Fake Alignment While Others Don't?,,
https://www.lesswrong.com/posts/QkEyry3Mqo8umbhoK/self-fulfilling-misalignment-data-might-be-poisoning-our-ai,Self-fulfilling misalignment data might be poisoning our AI models,,
https://www.lesswrong.com/posts/bnnKGSCHJghAvqPjS/foom-and-doom-2-technical-alignment-is-hard,Foom & Doom 2: Technical alignment is hard,,
https://www.lesswrong.com/posts/LtT24cCAazQp4NYc5/open-global-investment-as-a-governance-model-for-agi,Open Global Investment as a Governance Model for AGI,,
https://www.lesswrong.com/posts/gYfpPbww3wQRaxAFD/activation-space-interpretability-may-be-doomed,Activation space interpretability may be doomed,,
https://www.lesswrong.com/posts/TBk2dbWkg2F7dB3jb/it-s-hard-to-make-scheming-evals-look-realistic-for-llms,It's hard to make scheming evals look realistic for LLMs,,
https://www.lesswrong.com/posts/CFA8W6WCodEZdjqYE/ais-should-also-refuse-to-work-on-capabilities-research,AIs should also refuse to work on capabilities research,,
https://www.lesswrong.com/posts/oDX5vcDTEei8WuoBx/re-recent-anthropic-safety-research,Re: recent Anthropic safety research,,
https://www.lesswrong.com/posts/zmtqmwetKH4nrxXcE/which-side-of-the-ai-safety-community-are-you-in,Which side of the AI safety community are you in?,,
https://www.lesswrong.com/posts/Fr4QsQT52RFKHvCAH/alignment-faking-revisited-improved-classifiers-and-open,Alignment Faking Revisited: Improved Classifiers and Open Source Extensions,,
https://www.lesswrong.com/posts/neTbrpBziAsTH5Bn7/ai-companies-are-unlikely-to-make-high-assurance-safety,AI companies are unlikely to make high-assurance safety cases if timelines are short,,
https://www.lesswrong.com/posts/qgehQxiTXj53X49mM/sonnet-4-5-s-eval-gaming-seriously-undermines-alignment,"Sonnet 4.5's eval gaming seriously undermines alignment evals, and this seems caused by training on alignment evals",,
https://www.lesswrong.com/posts/gLDSqQm8pwNiq7qst/narrow-misalignment-is-hard-emergent-misalignment-is-easy,"Narrow Misalignment is Hard, Emergent Misalignment is Easy",,
https://www.lesswrong.com/posts/n6Rsb2jDpYSfzsbns/consider-donating-to-ai-safety-champion-scott-wiener,Consider donating to AI safety champion Scott Wiener,,
https://www.lesswrong.com/posts/qYPHryHTNiJ2y6Fhi/the-paris-ai-anti-safety-summit,The Paris AI Anti-Safety Summit,,
https://www.lesswrong.com/posts/E8n93nnEaFeXTbHn5/plans-a-b-c-and-d-for-misalignment-risk,"Plans A, B, C, and D for misalignment risk",,
https://www.lesswrong.com/posts/HLJoJYi52mxgomujc/realistic-reward-hacking-induces-different-and-deeper-1,Realistic Reward Hacking Induces Different and Deeper Misalignment,,
https://www.lesswrong.com/posts/JmRfgNYCrYogCq7ny/stress-testing-deliberative-alignment-for-anti-scheming,Stress Testing Deliberative Alignment for Anti-Scheming Training,,
https://www.lesswrong.com/posts/bGYQgBPEyHidnZCdE/towards-alignment-auditing-as-a-numbers-go-up-science,Towards Alignment Auditing as a Numbers-Go-Up Science,,
https://www.lesswrong.com/posts/J7Ju6t6QCpgbnYx4D/please-donate-to-caip-post-1-of-7-on-ai-governance,Please Donate to CAIP (Post 1 of 7 on AI Governance),,
https://www.lesswrong.com/posts/26SHhxK2yYQbh7ors/research-directions-open-phil-wants-to-fund-in-technical-ai,Research directions Open Phil wants to fund in technical AI safety,,
https://www.lesswrong.com/posts/TCGgiJAinGgcMEByt/the-era-of-experience-has-an-unsolved-technical-alignment,“The Era of Experience” has an unsolved technical alignment problem,,
https://www.lesswrong.com/posts/whkMnqFWKsBm7Gyd7/recontextualization-mitigates-specification-gaming-without,Recontextualization Mitigates Specification Gaming Without Modifying the Specification,,
https://www.lesswrong.com/posts/jP9KDyMkchuv6tHwm/how-to-become-a-mechanistic-interpretability-researcher,How To Become A Mechanistic Interpretability Researcher,,
https://www.lesswrong.com/posts/gRc8KL2HLtKkFmNPr/among-us-a-sandbox-for-agentic-deception,Among Us: A Sandbox for Agentic Deception,,
https://www.lesswrong.com/posts/W3KfxjbqBAnifBQoi/we-should-try-to-automate-ai-safety-work-asap,We should try to automate AI safety work asap,,
https://www.lesswrong.com/posts/tbnw7LbNApvxNLAg8/uk-aisi-s-alignment-team-research-agenda,UK AISI’s Alignment Team: Research Agenda,,
https://www.lesswrong.com/posts/wGRnzCFcowRCrpX4Y/downstream-applications-as-validation-of-interpretability,Downstream applications as validation of interpretability progress,,
https://www.lesswrong.com/posts/yHmJrDSJpFaNTZ9Tr/model-organisms-for-emergent-misalignment,Model Organisms for Emergent Misalignment,,
https://www.lesswrong.com/posts/wbJxRNxuezvsGFEWv/open-philanthropy-technical-ai-safety-rfp-usd40m-available,Open Philanthropy Technical AI Safety RFP - $40M Available Across 21 Research Areas,,
https://www.lesswrong.com/posts/BjeesS4cosB2f4PAj/we-re-not-advertising-enough-post-3-of-7-on-ai-governance,We're Not Advertising Enough (Post 3 of 7 on AI Governance),,
https://www.lesswrong.com/posts/2pZWhCndKtLAiWXYv/learnings-from-ai-safety-course-so-far,Learnings from AI safety course so far,,
