title,url
https://www.alignmentforum.org/posts/79BPxvSsjzBkiSyTq/agi-safety-and-alignment-at-google-deepmind-a-summary-of,https://www.alignmentforum.org/posts/79BPxvSsjzBkiSyTq/agi-safety-and-alignment-at-google-deepmind-a-summary-of#Emerging_Topics
https://arxiv.org/abs/2509.15541,https://arxiv.org/abs/2509.15541
https://arxiv.org/abs/2501.18841,https://arxiv.org/abs/2501.18841
Persona Features,https://www.arxiv.org/pdf/2506.19823
CoT Defence,https://arxiv.org/abs/2503.11926
Madry data attribution,https://arxiv.org/abs/2505.16260
Alignment Science,https://alignment.anthropic.com/
Safeguards,https://alignment.anthropic.com/2025/introducing-safeguards-research-team/
Claude’s Character,https://www.anthropic.com/research/claude-character
Interpretability,https://www.anthropic.com/research/tracing-thoughts-language-model
Zhou et al,https://arxiv.org/abs/2503.06378
"Hendrycks, Song et al",https://www.agidefinition.ai/
third-wave AI safety,https://www.lesswrong.com/posts/6YxdpGjfHyrZb7F2G/third-wave-ai-safety-needs-sociopolitical-thinking
What's going on? (July 2025),https://docs.google.com/presentation/d/1IxNCFB81jy3_Xf5ogZLYUS8kgRlhRdIVV5EYSb4VfBo/edit?slide=id.g35035bb93ce_0_0#slide=id.g35035bb93ce_0_0
https://x.com/RyanPGreenblatt/status/1949912100601811381,https://x.com/RyanPGreenblatt/status/1949912100601811381
low-dimensional,https://blog.evanchen.cc/2017/04/08/on-designing-olympiad-training/
an AI alignment team,https://www.alignmentforum.org/posts/tbnw7LbNApvxNLAg8/uk-aisi-s-alignment-team-research-agenda
https://www.lesswrong.com/posts/bb5Tnjdrptu89rcyY/what-s-the-short-timeline-plan,https://www.lesswrong.com/posts/bb5Tnjdrptu89rcyY/what-s-the-short-timeline-plan#comments
What is the current safety stack?,https://docs.google.com/document/d/1W1jLPqTZ56eVJJdErxROhiQKwOEiay-iWQKqfdlAmS0/edit?tab=t.0#heading=h.v4a088m71j9n
https://arxiv.org/abs/2506.24068,https://arxiv.org/abs/2506.24068
Open Global Investment,https://www.lesswrong.com/posts/LtT24cCAazQp4NYc5/open-global-investment-as-a-governance-model-for-agi
sometimes,https://manifold.markets/NeelNanda/will-sparse-autoencoders-be-success#g9gg9z7k8q
somewhat,https://x.com/NeelNanda5/status/1965485174411649259
discover,https://arxiv.org/abs/2503.10965
run,https://x.com/OBalcells/status/1965434564748447921
Some experiments,https://www.alignmentforum.org/posts/NfgukR3HSaRq4WhyW/tim-hua-s-shortform?commentId=Tri4tc67GgGq7erfk
model card,https://github.com/openai/gpt-3/blob/master/model-card.md
Building and evaluating alignment auditing agents,https://alignment.anthropic.com/2025/automated-auditing/
Blind auditing language models for hidden objectives,https://www.lesswrong.com/posts/wSKPuBfgkkqfTpmWJ/auditing-language-models-for-hidden-objectives
https://www.arxiv.org/pdf/2510.16255,https://www.arxiv.org/pdf/2510.16255
already starting to look weird,https://www.antischeming.ai/snippets
https://x.com/Jack_W_Lindsey/status/1972732882893578693,https://x.com/Jack_W_Lindsey/status/1972732882893578693
CoT Faithfulness Defence League,https://arxiv.org/abs/2507.11473
leading,https://openai.com/index/chain-of-thought-monitoring/
stopped,https://x.com/sleepinyourhat/status/1978507448018231495
HAAISS,https://www.youtube.com/@ACSResearch
IASEAI,https://www.youtube.com/@IASEAI/videos
ILIAD,https://www.youtube.com/@ILIADConference/videos
Third-wave mechanistic interpretability,https://www.lesswrong.com/posts/beREnXhBnzxbJtr8k/mech-interp-is-not-pre-paradigmatic#Toward__Third_Wave__Mechanistic_Interpretability
https://x.com/sleepinyourhat/status/1960749648110395467,https://x.com/sleepinyourhat/status/1960749648110395467
https://arxiv.org/pdf/2507.03409,https://arxiv.org/pdf/2507.03409
remarkably easy,https://www.alignmentforum.org/posts/gLDSqQm8pwNiq7qst/narrow-misalignment-is-hard-emergent-misalignment-is-easy
Here,https://carnegieendowment.org/research/2025/10/how-china-views-ai-risks-and-what-to-do-about-them?lang=en
are,https://arxiv.org/pdf/2506.20702
some,https://www.gov.uk/government/publications/international-ai-safety-report-2025/international-ai-safety-report-2025#about-this-report
links,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf
on,https://mkodama.org/content/EU-code/
international,https://ai-frontiers.org/articles/ai-deterrence-is-our-best-option?utm_source=newsletter
https://apartresearch.com/#get-started,https://apartresearch.com/#get-started
https://coda.io/@alignmentdev/ai-safety-info,https://coda.io/@alignmentdev/ai-safety-info
https://researcher2.eleuther.ai/get-involved/,https://researcher2.eleuther.ai/get-involved/
https://aisafety.quest/#volunteer,https://aisafety.quest/#volunteer
https://aisafetyawarenessproject.org/next-steps/,https://aisafetyawarenessproject.org/next-steps/
https://www.theomachialabs.com/,https://www.theomachialabs.com/
What's next?,https://www.lesswrong.com/posts/yew6zFWAKG4AGs3Wk/foom-and-doom-1-brain-in-a-box-in-a-basement
https://windowsontheory.org/2025/06/24/machines-of-faithful-obedience/,https://windowsontheory.org/2025/06/24/machines-of-faithful-obedience/
https://x.com/g_leech_/status/1969659430988857797,https://x.com/g_leech_/status/1969659430988857797
https://openai.com/index/introducing-agentkit/,https://openai.com/index/introducing-agentkit/
other,https://metr.org/blog/2025-07-14-how-does-time-horizon-vary-across-domains/
https://www.lesswrong.com/posts/PzLSuaT6WGLQGJJJD/the-length-of-horizons,https://www.lesswrong.com/posts/PzLSuaT6WGLQGJJJD/the-length-of-horizons
ADeLe,https://kinds-of-intelligence-cfi.github.io/ADELE/
CHC-AI,https://www.agidefinition.ai/paper.pdf
GDPval,https://arxiv.org/abs/2510.04374
Humanity's Last Exam,https://arxiv.org/abs/2501.14249
METR: Measuring AI Ability to Complete Long Tasks,https://www.alignmentforum.org/posts/deesrjitvXM4xYGZd/metr-measuring-ai-ability-to-complete-long-tasks
Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/
Vending-Bench,https://arxiv.org/abs/2502.15840
Claude running a vending machine,https://www.anthropic.com/research/project-vend-1
Claude plays pokemon,https://www.twitch.tv/claudeplayspokemon
"Two-hop reasoning: Models fail to compose two synthetic facts, but can succeed when one fact is synthetic and the other is natural",https://www.lesswrong.com/posts/MdKWqFrNstiZQ3G6K/lessons-from-studying-two-hop-latent-reasoning
ARC-AGI 2,https://arxiv.org/pdf/2505.11831
